Score,Kommune,Parti,Anden liste,Navn,"1. ""Kommunen skal prioritere, at skolerne får flere midler til indkøb af klimavenlige og bæredygtige råvarer til madkundskab""","2. ""Ved kommunale bevillinger til arrangementer, som involverer udgifter til mad/forplejning, skal de klimavenlige kostråd følges, og der skal altid være et plantebaseret alternativ""","3. ""Fødevareministeriet har fået beregnet de sundhedsøkonomiske gevinster ved, at danskerne følger kostrådene. Der skal laves en tilsvarende beregning af de sundhedsøkonomiske gevinster for min kommune""","4. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (På plejehjem, ældrecentre og ved kommunal madudbringning til ældre)""","5. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (I skoler)""","6. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (I daginstitutioner)""","7. ""De offentlige køkkener i kommunen skal tilbyde en vegetarisk valgmulighed; som kun består af vegetabilske fødevarer (På kommunale arbejdspladser)""","8. ""Alle offentlige køkkener i kommunen skal som udgangspunkt servere en 100 % plantebaseret kost, hvor eventuelle animalske fødevarer er et aktivt tilvalg""","9. ""Alle skolers mælkeordninger skal tilbyde en plantebaseret drik""","10. Nogle d1ginstitutioner h1r en politik om, 1t børnene sk1l s1mles om et fælles måltid. I nogle 1f de institutioner tilbydes der dog ikke s1mtidigt det mest klim1venlige måltid – et pl1nteb1seret måltid. Det betyder, 1t f1milier, som h1r v1lgt 1t leve klim1venligt, ikke k1n få deres ønske opfyldt, fordi det er i konflikt med politikken om et fælles måltid. Hv1d sk1l kommunens måltidspolitik være? ","11. ""Kommunen skal opstille en målsætning om 25 % CO2-reduktion i 2025 fra maden i de offentlige køkkener (referenceåret for sammenligningen er 2020)""","12. ""Kommunen skal opstille en målsætning om 50 % CO2-reduktion i 2030 fra maden i de offentlige køkkener (referenceåret for sammenligningen er 2020)""","13. ""Min kommune skal erklære sig som foregangskommune og udarbejde en strategi for plantebaserede fødevarer fra jord til bord""",14. Konkret borgernær case (daginstitution)*,"15 ""Kommunen skal oprette forsøgspuljer til at fremme økologisk plantebaseret iværksætteri""","16. ""Kommunen skal afsætte penge til efteruddannelse af kommunens køkkenpersonale inden for tilberedning af klimavenlig, økologisk og plantebaseret mad"""
9,Albertslund,A. Socialdemokratiet,,Flemming Jørgensen,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1
16,Albertslund,B. Det Radikale Venstre,,Nicolai Kofod-Jensen,1,2,0,2,2,2,2,1,1,0,1,0,0,1,0,1
16,Albertslund,C. Det Konservative Folkeparti,,Billal Zahoor,1,1,2,2,1,1,2,0,0,1,1,1,0,2,1,0
23,Albertslund,F. Socialistisk Folkeparti,,Inge Dahn,1,2,2,1,2,2,2,1,1,1,1,1,2,0,2,2
16,Albertslund,F. Socialistisk Folkeparti,,Michael Jonasen,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
32,Albertslund,G. Veganerpartiet,,Adam Samy,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,Albertslund,Ø. Enhedslisten,,Jeppe Milthers,2,2,2,2,2,2,2,1,2,1,,,,,,
18,Albertslund,Ø. Enhedslisten,,Lars Bremer,2,2,2,2,2,2,2,1,1,2,,,,,,
26,Allerød,A. Socialdemokratiet,,Niels Christian Dahl,1,2,1,2,2,2,2,1,2,2,2,2,2,0,1,2
21,Allerød,A. Socialdemokratiet,,Vibeke Højbjerg,2,2,1,2,,,,1,1,2,2,2,2,1,1,2
16,Allerød,A. Socialdemokratiet,,Birgitte Greby,2,2,0,2,2,2,2,0,0,2,0,0,0,0,0,2
14,Allerød,A. Socialdemokratiet,,Gitte Gross,2,2,1,1,2,2,2,0,0,2,0,0,0,,,
24,Allerød,B. Det Radikale Venstre,,Vibeke Arndt Skak Jensen,2,2,2,1,2,2,2,0,1,1,1,1,1,2,2,2
16,Allerød,C. Det Konservative Folkeparti,,Jørgen Johansen ,2,1,2,1,1,1,1,0,0,0,2,2,1,0,0,2
15,Allerød,C. Det Konservative Folkeparti,,Eric Lerdrup Bourgois,2,2,1,1,1,1,1,0,1,2,0,0,0,1,1,1
5,Allerød,D. Nye Borgerlige,,Joan Blomsterberg,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
24,Allerød,F. Socialistisk Folkeparti,,Kurt Koudahl Petersen,2,2,2,2,2,2,2,0,2,2,0,2,0,2,0,2
11,Allerød,F. Socialistisk Folkeparti,,Nikolaj Bührmann,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
